States,state.abb,Murder,Assault,UrbanPop,Rape
Alabama,AL,13.2,236,58,21.2
Alaska,AK,10,263,48,44.5
Arizona,AZ,8.1,294,80,31
Arkansas,AR,8.8,190,50,19.5
California,CA,9,276,91,40.6
Colorado,CO,7.9,204,78,38.7
Connecticut,CT,3.3,110,77,11.1
Delaware,DE,5.9,238,72,15.8
Florida,FL,15.4,335,80,31.9
Georgia,GA,17.4,211,60,25.8
Hawaii,HI,5.3,46,83,20.2
Idaho,ID,2.6,120,54,14.2
Illinois,IL,10.4,249,83,24
Indiana,IN,7.2,113,65,21
Iowa,IA,2.2,56,57,11.3
Kansas,KS,6,115,66,18
Kentucky,KY,9.7,109,52,16.3
Louisiana,LA,15.4,249,66,22.2
Maine,ME,2.1,83,51,7.8
Maryland,MD,11.3,300,67,27.8
Massachusetts,MA,4.4,149,85,16.3
Michigan,MI,12.1,255,74,35.1
Minnesota,MN,2.7,72,66,14.9
Mississippi,MS,16.1,259,44,17.1
Missouri,MO,9,178,70,28.2
Montana,MT,6,109,53,16.4
Nebraska,NE,4.3,102,62,16.5
Nevada,NV,12.2,252,81,46
New Hampshire,NH,2.1,57,56,9.5
New Jersey,NJ,7.4,159,89,18.8
New Mexico,NM,11.4,285,70,32.1
New York,NY,11.1,254,86,26.1
North Carolina,NC,13,337,45,16.1
North Dakota,ND,0.8,45,44,7.3
Ohio,OH,7.3,120,75,21.4
Oklahoma,OK,6.6,151,68,20
Oregon,OR,4.9,159,67,29.3
Pennsylvania,PA,6.3,106,72,14.9
Rhode Island,RI,3.4,174,87,8.3
South Carolina,SC,14.4,279,48,22.5
South Dakota,SD,3.8,86,45,12.8
Tennessee,TN,13.2,188,59,26.9
Texas,TX,12.7,201,80,25.5
Utah,UT,3.2,120,80,22.9
Vermont,VT,2.2,48,32,11.2
Virginia,VA,8.5,156,63,20.7
Washington,WA,4,145,73,26.2
West Virginia,WV,5.7,81,39,9.3
Wisconsin,WI,2.6,53,66,10.8
Wyoming,WY,6.8,161,60,15.6
